,,Random,Majority,Class ratio,Gaussian NB,XGBoost
24,bacc.,0.3977272727272727,0.5,0.6893939393939394,0.4431818181818182,0.5151515151515151
24,f1,0.6497959183673468,0.006177606177606178,0.5273828212603723,0.2286654135338346,0.06181139122315594
24,auroc,0.5,0.5,0.3106060606060606,0.38257575757575757,0.4810606060606061
24,ap,0.9428571428571428,0.9428571428571428,0.923136123136123,0.9289827568256608,0.9560460079947888
25,acc.,0.559322033898305,0.3898305084745763,0.4830508474576271,0.5,0.4406779661016949
25,bacc.,0.5721618357487923,0.5,0.5371376811594203,0.582427536231884,0.47493961352657005
25,f1,0.5639005062733876,0.21868540719305496,0.45984304186498826,0.43904303294351454,0.4329454034210732
25,auroc,0.5,0.5,0.4628623188405797,0.5836352657004832,0.4821859903381642
25,ap,0.6101694915254238,0.6101694915254238,0.5931959867523865,0.737120990773608,0.6158588224894721
28,acc.,0.6,0.5130434782608696,0.5043478260869565,0.3565217391304348,0.5391304347826087
28,bacc.,0.598365617433414,0.5,0.5015133171912833,0.34972760290556903,0.5290556900726392
28,f1,0.5983566646378575,0.3479260369815092,0.498489323148695,0.31097875719674406,0.45707084346025745
28,auroc,0.5,0.5,0.49848668280871666,0.30871670702179177,0.45883777239709445
28,ap,0.48695652173913045,0.48695652173913045,0.4862023070097604,0.37339666438311475,0.4868551547752436
31,acc.,0.47540983606557374,0.18032786885245902,0.32786885245901637,0.2459016393442623,0.319672131147541
31,bacc.,0.5027272727272727,0.5,0.4659090909090909,0.3981818181818182,0.49636363636363634
31,f1,0.5325767129045818,0.055100182149362485,0.3587839755872542,0.25360479464128327,0.33638386626640143
31,auroc,0.5,0.5,0.5340909090909092,0.2909090909090909,0.5472727272727272
31,ap,0.819672131147541,0.819672131147541,0.8299180327868853,0.7213812204192372,0.8526631924273596
